SampleName,MHL_CP_2,MHL_CP_3,MHL_Combined
in3380_1,0.018775729469870137,0.0037324049116501954,0.013370858323914886
in3380_2,0.009250662096899828,0.01634070111133737,0.014226124784401026
in3380_3,0.007687759011650637,0.005493379087853585,0.005870283541829576
in3380_4,0.003276024513998738,0.008662468638994461,0.006709338484607936
